66 0f 14 e4 | 01100110 00001111 00010100 11100100 | unpcklps xmm4, xmm4
64 0f 14 e4 | 01100100 00001111 00010100 11100100 | unpcklps xmm4, xmm4
66 0f 14 ed | 01100110 00001111 00010100 11101101 | unpcklps xmm5, xmm5
64 0f 14 ed | 01100100 00001111 00010100 11101101 | unpcklps xmm5, xmm5
66 0f 14 f6 | 01100110 00001111 00010100 11110110 | unpcklps xmm6, xmm6
64 0f 14 f6 | 01100100 00001111 00010100 11110110 | unpcklps xmm6, xmm6
66 0f 14 ff | 01100110 00001111 00010100 11111111 | unpcklps xmm7, xmm7
64 0f 14 ff | 01100100 00001111 00010100 11111111 | unpcklps xmm7, xmm7
66 90 | 01100110 10010000 | nop 
64 90 | 01100100 10010000 | nop 
66 0f c2 c0 00 | 01100110 00001111 11000010 11000000 00000000 | cmpeqps xmm0, xmm0
64 0f c2 c0 00 | 01100100 00001111 11000010 11000000 00000000 | cmpeqps xmm0, xmm0
66 0f c2 c9 00 | 01100110 00001111 11000010 11001001 00000000 | cmpeqps xmm1, xmm1
64 0f c2 c9 00 | 01100100 00001111 11000010 11001001 00000000 | cmpeqps xmm1, xmm1
66 0f c2 d2 00 | 01100110 00001111 11000010 11010010 00000000 | cmpeqps xmm2, xmm2
64 0f c2 d2 00 | 01100100 00001111 11000010 11010010 00000000 | cmpeqps xmm2, xmm2
66 0f c2 db 00 | 01100110 00001111 11000010 11011011 00000000 | cmpeqps xmm3, xmm3
64 0f c2 db 00 | 01100100 00001111 11000010 11011011 00000000 | cmpeqps xmm3, xmm3
66 0f c2 e4 00 | 01100110 00001111 11000010 11100100 00000000 | cmpeqps xmm4, xmm4
64 0f c2 e4 00 | 01100100 00001111 11000010 11100100 00000000 | cmpeqps xmm4, xmm4
66 0f c2 ed 00 | 01100110 00001111 11000010 11101101 00000000 | cmpeqps xmm5, xmm5
64 0f c2 ed 00 | 01100100 00001111 11000010 11101101 00000000 | cmpeqps xmm5, xmm5
66 0f c2 f6 00 | 01100110 00001111 11000010 11110110 00000000 | cmpeqps xmm6, xmm6
64 0f c2 f6 00 | 01100100 00001111 11000010 11110110 00000000 | cmpeqps xmm6, xmm6
66 0f c2 ff 00 | 01100110 00001111 11000010 11111111 00000000 | cmpeqps xmm7, xmm7
64 0f c2 ff 00 | 01100100 00001111 11000010 11111111 00000000 | cmpeqps xmm7, xmm7
66 0f c2 c0 01 | 01100110 00001111 11000010 11000000 00000001 | cmpltps xmm0, xmm0
64 0f c2 c0 01 | 01100100 00001111 11000010 11000000 00000001 | cmpltps xmm0, xmm0
66 0f c2 c9 01 | 01100110 00001111 11000010 11001001 00000001 | cmpltps xmm1, xmm1
64 0f c2 c9 01 | 01100100 00001111 11000010 11001001 00000001 | cmpltps xmm1, xmm1
66 0f c2 d2 01 | 01100110 00001111 11000010 11010010 00000001 | cmpltps xmm2, xmm2
64 0f c2 d2 01 | 01100100 00001111 11000010 11010010 00000001 | cmpltps xmm2, xmm2
66 0f c2 db 01 | 01100110 00001111 11000010 11011011 00000001 | cmpltps xmm3, xmm3
64 0f c2 db 01 | 01100100 00001111 11000010 11011011 00000001 | cmpltps xmm3, xmm3
66 0f c2 e4 01 | 01100110 00001111 11000010 11100100 00000001 | cmpltps xmm4, xmm4
64 0f c2 e4 01 | 01100100 00001111 11000010 11100100 00000001 | cmpltps xmm4, xmm4
66 0f c2 ed 01 | 01100110 00001111 11000010 11101101 00000001 | cmpltps xmm5, xmm5
64 0f c2 ed 01 | 01100100 00001111 11000010 11101101 00000001 | cmpltps xmm5, xmm5
66 0f c2 f6 01 | 01100110 00001111 11000010 11110110 00000001 | cmpltps xmm6, xmm6
64 0f c2 f6 01 | 01100100 00001111 11000010 11110110 00000001 | cmpltps xmm6, xmm6
66 0f c2 ff 01 | 01100110 00001111 11000010 11111111 00000001 | cmpltps xmm7, xmm7
64 0f c2 ff 01 | 01100100 00001111 11000010 11111111 00000001 | cmpltps xmm7, xmm7
66 0f c2 c0 02 | 01100110 00001111 11000010 11000000 00000010 | cmpleps xmm0, xmm0
64 0f c2 c0 02 | 01100100 00001111 11000010 11000000 00000010 | cmpleps xmm0, xmm0
66 0f c2 c9 02 | 01100110 00001111 11000010 11001001 00000010 | cmpleps xmm1, xmm1
64 0f c2 c9 02 | 01100100 00001111 11000010 11001001 00000010 | cmpleps xmm1, xmm1
66 0f c2 d2 02 | 01100110 00001111 11000010 11010010 00000010 | cmpleps xmm2, xmm2
64 0f c2 d2 02 | 01100100 00001111 11000010 11010010 00000010 | cmpleps xmm2, xmm2
66 0f c2 db 02 | 01100110 00001111 11000010 11011011 00000010 | cmpleps xmm3, xmm3
64 0f c2 db 02 | 01100100 00001111 11000010 11011011 00000010 | cmpleps xmm3, xmm3
66 0f c2 e4 02 | 01100110 00001111 11000010 11100100 00000010 | cmpleps xmm4, xmm4
64 0f c2 e4 02 | 01100100 00001111 11000010 11100100 00000010 | cmpleps xmm4, xmm4
66 0f c2 ed 02 | 01100110 00001111 11000010 11101101 00000010 | cmpleps xmm5, xmm5
64 0f c2 ed 02 | 01100100 00001111 11000010 11101101 00000010 | cmpleps xmm5, xmm5
66 0f c2 f6 02 | 01100110 00001111 11000010 11110110 00000010 | cmpleps xmm6, xmm6
64 0f c2 f6 02 | 01100100 00001111 11000010 11110110 00000010 | cmpleps xmm6, xmm6
66 0f c2 ff 02 | 01100110 00001111 11000010 11111111 00000010 | cmpleps xmm7, xmm7
64 0f c2 ff 02 | 01100100 00001111 11000010 11111111 00000010 | cmpleps xmm7, xmm7
66 0f c2 c0 03 | 01100110 00001111 11000010 11000000 00000011 | cmpunordps xmm0, xmm0
64 0f c2 c0 03 | 01100100 00001111 11000010 11000000 00000011 | cmpunordps xmm0, xmm0
66 0f c2 c9 03 | 01100110 00001111 11000010 11001001 00000011 | cmpunordps xmm1, xmm1
64 0f c2 c9 03 | 01100100 00001111 11000010 11001001 00000011 | cmpunordps xmm1, xmm1
66 0f c2 d2 03 | 01100110 00001111 11000010 11010010 00000011 | cmpunordps xmm2, xmm2
64 0f c2 d2 03 | 01100100 00001111 11000010 11010010 00000011 | cmpunordps xmm2, xmm2
66 0f c2 db 03 | 01100110 00001111 11000010 11011011 00000011 | cmpunordps xmm3, xmm3
64 0f c2 db 03 | 01100100 00001111 11000010 11011011 00000011 | cmpunordps xmm3, xmm3
66 0f c2 e4 03 | 01100110 00001111 11000010 11100100 00000011 | cmpunordps xmm4, xmm4
64 0f c2 e4 03 | 01100100 00001111 11000010 11100100 00000011 | cmpunordps xmm4, xmm4
66 0f c2 ed 03 | 01100110 00001111 11000010 11101101 00000011 | cmpunordps xmm5, xmm5
64 0f c2 ed 03 | 01100100 00001111 11000010 11101101 00000011 | cmpunordps xmm5, xmm5
66 0f c2 f6 03 | 01100110 00001111 11000010 11110110 00000011 | cmpunordps xmm6, xmm6
64 0f c2 f6 03 | 01100100 00001111 11000010 11110110 00000011 | cmpunordps xmm6, xmm6
66 0f c2 ff 03 | 01100110 00001111 11000010 11111111 00000011 | cmpunordps xmm7, xmm7
64 0f c2 ff 03 | 01100100 00001111 11000010 11111111 00000011 | cmpunordps xmm7, xmm7
66 0f c2 c0 04 | 01100110 00001111 11000010 11000000 00000100 | cmpneqps xmm0, xmm0
64 0f c2 c0 04 | 01100100 00001111 11000010 11000000 00000100 | cmpneqps xmm0, xmm0
66 0f c2 c9 04 | 01100110 00001111 11000010 11001001 00000100 | cmpneqps xmm1, xmm1
64 0f c2 c9 04 | 01100100 00001111 11000010 11001001 00000100 | cmpneqps xmm1, xmm1
66 0f c2 d2 04 | 01100110 00001111 11000010 11010010 00000100 | cmpneqps xmm2, xmm2
64 0f c2 d2 04 | 01100100 00001111 11000010 11010010 00000100 | cmpneqps xmm2, xmm2
